metai;vardas;naujagimiu_sk;lytis;pirmavimas
2009;AHMAD ;166;Male;267
2009;KIERON ;165;Male;268
2009;MICAH ;165;Male;268
2009;ZAKARIYA ;165;Male;268
2009;TIMOTHY ;164;Male;271
2009;MARCEL ;163;Male;272
2009;ZANE ;161;Male;273
2009;ERIC ;159;Male;274
2009;FRANCIS ;159;Male;274
2009;TOMAS ;159;Male;274
2009;BILAL ;156;Male;277
2009;LEONARDO ;156;Male;277
2009;MAXIMUS ;154;Male;279
2009;BRODY ;153;Male;280
2009;CASEY ;153;Male;280
2009;SOLOMON ;153;Male;280
2009;ISA ;152;Male;283
2009;DAWID ;151;Male;284
2009;NIALL ;151;Male;284
2009;PATRYK ;151;Male;284
2009;RAYYAN ;151;Male;284
2009;RYLEE ;151;Male;284
2009;ARJUN ;150;Male;289
2009;GETHIN ;150;Male;289
2009;ALBIE ;148;Male;291
2009;AMAAN ;148;Male;291
2009;JIMMY ;145;Male;293
2009;CAIDEN ;144;Male;294
2009;CHASE ;144;Male;294
2009;RALPH ;144;Male;294
2009;HASAN ;143;Male;297
2009;JOSIAH ;143;Male;297
2009;CAI ;142;Male;299
2009;JAN ;142;Male;299
2009;SIMON ;140;Male;301
2009;HARIS ;139;Male;302
2009;ANGUS ;138;Male;303
2009;DEAN ;138;Male;303
2009;COBY ;136;Male;305
2009;PHILIP ;136;Male;305
2009;ROBBIE ;135;Male;307
2009;ELI ;134;Male;308
2009;EESA ;133;Male;309
2009;YAHYA ;133;Male;309
2009;ARLO ;132;Male;311
2009;HARRIS ;131;Male;312
2009;VINNIE ;130;Male;313
2009;WILFRED ;130;Male;313
2009;JULIAN ;129;Male;315
2009;BRODIE ;127;Male;316
2009;LLOYD ;127;Male;316
2009;OLIVIER ;127;Male;316
2009;ELIAS ;125;Male;319
2009;JARED ;125;Male;319
2009;LENNY ;125;Male;319
2009;MAKSYMILIAN ;125;Male;319
2009;ISAIAH ;124;Male;323
2009;OLLY ;124;Male;323
2009;TOMOS ;124;Male;323
2009;LORENZO ;123;Male;326
2009;REHAN ;123;Male;326
2009;AAYAN ;121;Male;328
2009;ALEKSANDER ;121;Male;328
2009;DEVON ;120;Male;330
2009;FINNLEY ;120;Male;330
2009;MICHAL ;120;Male;330
2009;JUNIOR ;119;Male;333
2009;TYRESE ;119;Male;333
2009;DREW ;118;Male;335
2009;KYRAN ;118;Male;335
2009;TED ;118;Male;335
2009;PHOENIX ;117;Male;338
2009;ROSS ;117;Male;338
2009;JAI ;116;Male;340
2009;KALEB ;116;Male;340
2009;OSIAN ;116;Male;340
2009;JAC ;115;Male;343
2009;JOEY ;115;Male;343
2009;KEEGAN ;115;Male;343
2009;MONTY ;115;Male;343
2009;AMIR ;114;Male;347
2009;KHALID ;114;Male;347
2009;FARHAN ;113;Male;349
2009;IVAN ;113;Male;349
2009;AYMAN ;112;Male;351
2009;CORY ;112;Male;351
2009;XANDER ;111;Male;353
2009;ARMAAN ;110;Male;354
2009;LELAND ;110;Male;354
2009;OAKLEY ;110;Male;354
2009;DAMIAN ;109;Male;357
2009;ZACHARIAH ;109;Male;357
2009;BRAYDEN ;108;Male;359
2009;DANTE ;108;Male;359
2009;IEUAN ;108;Male;359
2009;BRENDAN ;107;Male;362
2009;DARREN ;107;Male;362
2009;HECTOR ;107;Male;362
2009;LUKA ;107;Male;362
2009;DEACON ;106;Male;366
2009;IOAN ;106;Male;366
2009;KRISTIAN ;106;Male;366
2009;LUIS ;106;Male;366
2009;ROBIN ;106;Male;366
2009;RUPERT ;106;Male;366
2009;SAHIL ;106;Male;366
2009;YUVRAJ ;106;Male;366
2009;HENLEY ;105;Male;374
2009;LEONARD ;105;Male;374
2009;AYDEN ;104;Male;376
2009;BARTOSZ ;104;Male;376
2009;BRIAN ;104;Male;376
2009;JAMAL ;104;Male;376
2009;OLIWIER ;104;Male;376
2009;CALVIN ;103;Male;381
2009;KYRON ;103;Male;381
2009;CARL ;102;Male;383
2009;CHARLEY ;102;Male;383
2009;ANTONI ;101;Male;385
2009;DOUGLAS ;101;Male;385
2009;HUGH ;101;Male;385
2009;LAWRENCE ;101;Male;385
2009;MALAKAI ;101;Male;385
2009;MIKEY ;101;Male;385
2009;ALISTAIR ;100;Male;391
2009;COHEN ;100;Male;391
2009;JOHNNY ;100;Male;391
2009;RAYHAN ;100;Male;391
2009;WIKTOR ;100;Male;391
2009;ADEN ;99;Male;396
2009;COOPER ;99;Male;396
2009;MAXIMILLIAN ;99;Male;396
2009;CONNER ;98;Male;399
2009;HAMISH ;98;Male;399
2009;HARRI ;98;Male;399
2009;HUSSAIN ;98;Male;399
2009;KEATON ;97;Male;403
2009;DAMIEN ;96;Male;404
2009;LEYTON ;96;Male;404
2009;FABIAN ;95;Male;406
2009;HAYDN ;95;Male;406
2009;CASPER ;94;Male;408
2009;CLAYTON ;94;Male;408
2009;CRAIG ;94;Male;408
2009;EDDIE ;94;Male;408
2009;KEIRAN ;94;Male;408
2009;MARSHALL ;94;Male;408
2009;NIKODEM ;94;Male;408
2009;OWAIN ;94;Male;408
2009;OTIS ;93;Male;416
2009;ANTONIO ;92;Male;417
2009;DENNIS ;92;Male;417
2009;JEREMY ;92;Male;417
2009;MONTGOMERY ;92;Male;417
2009;ZAKARIA ;92;Male;417
2009;EDEN ;91;Male;422
2009;KRISH ;91;Male;422
2009;AMAN ;90;Male;424
2009;BYRON ;90;Male;424
2009;HASHIM ;90;Male;424
2009;ANTONY ;89;Male;427
2009;ASHER ;89;Male;427
2009;FRAZER ;89;Male;427
2009;LAURENCE ;89;Male;427
2009;MAISON ;89;Male;427
2009;AADAM ;87;Male;432
2009;AARAV ;87;Male;432
2009;ANDRE ;87;Male;432
2009;MATHEW ;87;Male;432
2009;SUBHAN ;87;Male;432
2009;TY ;87;Male;432
2009;ANAS ;86;Male;438
2009;DANIYAL ;86;Male;438
2009;HAIDER ;86;Male;438
2009;JEREMIAH ;86;Male;438
2009;IMRAN ;85;Male;442
2009;RUDY ;85;Male;442
2009;FARIS ;84;Male;444
2009;RONAN ;84;Male;444
2009;SAIF ;84;Male;444
2009;BENEDICT ;83;Male;447
2009;IGOR ;82;Male;448
2009;KAMRAN ;82;Male;448
2009;STEFAN ;82;Male;448
2009;FERGUS ;81;Male;451
2009;HEATH ;81;Male;451
2009;MARCO ;81;Male;451
2009;ESHAN ;80;Male;454
2009;GUY ;80;Male;454
2009;KAMIL ;80;Male;454
2009;HARI ;79;Male;457
2009;ISHAAN ;79;Male;457
2009;MAXIM ;79;Male;457
2009;YASIN ;79;Male;457
2009;CAELAN ;78;Male;461
2009;JAXON ;78;Male;461
2009;JED ;78;Male;461
2009;MIKOLAJ ;78;Male;461
2009;PIOTR ;78;Male;461
2009;ROMEO ;78;Male;461
2009;TONY ;78;Male;461
2009;HAMZAH ;77;Male;468
2009;JAYDAN ;77;Male;468
2009;MATTEO ;77;Male;468
2009;QUINN ;77;Male;468
2009;REAGAN ;77;Male;468
2009;AARYAN ;76;Male;473
2009;CONRAD ;76;Male;473
2009;IBRAHEEM ;76;Male;473
2009;ABDIRAHMAN ;75;Male;476
2009;EZRA ;75;Male;476
2009;IWAN ;75;Male;476
2009;SAMSON ;75;Male;476
2009;ZAYAN ;75;Male;476
2009;ABRAHAM ;74;Male;481
2009;KRYSTIAN ;74;Male;481
2009;SHEA ;74;Male;481
2009;WESLEY ;74;Male;481
2009;AJAY ;73;Male;485
2009;CRUZ ;73;Male;485
2009;JONAS ;73;Male;485
2009;MADDOX ;73;Male;485
2009;MALACHY ;73;Male;485
2009;OTTO ;73;Male;485
2009;ANTON ;72;Male;491
2009;CASSIUS ;72;Male;491
2009;ILYAS ;72;Male;491
2009;ALESSANDRO ;71;Male;494
2009;GEORGIE ;71;Male;494
2009;JAKOB ;71;Male;494
2009;YASEEN ;71;Male;494
2009;ARRON ;70;Male;498
2009;CAMRON ;70;Male;498
2009;DION ;70;Male;498
2009;ENZO ;70;Male;498
2009;HUDSON ;70;Male;498
2009;JAK ;70;Male;498
2009;UZAIR ;70;Male;498
2009;AMARI ;69;Male;505
2009;ARCHIBALD ;69;Male;505
2009;ARUN ;69;Male;505
2009;CAIN ;69;Male;505
2009;JAGO ;69;Male;505
2009;KALLUM ;69;Male;505
2009;MALIK ;69;Male;505
2009;RYLAN ;69;Male;505
2009;USMAN ;69;Male;505
2009;ARON ;68;Male;514
2009;KYAN ;68;Male;514
2009;LACHLAN ;68;Male;514
2009;NICO ;68;Male;514
2009;PRINCE ;68;Male;514
2009;ZAID ;68;Male;514
2009;CHESTER ;67;Male;520
2009;HASNAIN ;67;Male;520
2009;KIT ;67;Male;520
2009;WYATT ;67;Male;520
2009;ABBAS ;66;Male;524
2009;ALEC ;66;Male;524
2009;FAIZAN ;66;Male;524
2009;MOSES ;66;Male;524
2009;SAMIR ;66;Male;524
2009;SHAYAN ;66;Male;524
2009;ADIL ;65;Male;530
2009;SAUL ;65;Male;530
2009;ARRAN ;64;Male;532
2009;NEO ;64;Male;532
2009;RISHI ;64;Male;532
2009;AYUB ;63;Male;535
2009;BARNEY ;63;Male;535
2009;CARLOS ;63;Male;535
2009;COLBY ;63;Male;535
2009;ISMAEEL ;63;Male;535
2009;NATHANAEL ;63;Male;535
2009;RAHEEM ;63;Male;535
2009;RAYMOND ;63;Male;535
2009;SULAIMAN ;63;Male;535
2009;AZAAN ;62;Male;544
2009;CYRUS ;62;Male;544
2009;EZEKIEL ;62;Male;544
2009;GREGORY ;62;Male;544
2009;IESTYN ;62;Male;544
2009;LUCIAN ;62;Male;544
2009;NOEL ;62;Male;544
2009;TALHA ;62;Male;544
2009;ADDISON ;61;Male;552
2009;AYAN ;61;Male;552
2009;BRAYDON ;61;Male;552
2009;FRED ;61;Male;552
2009;IAN ;61;Male;552
2009;KONRAD ;61;Male;552
2009;CASPAR ;60;Male;558
2009;DANYAL ;60;Male;558
2009;KODY ;60;Male;558
2009;MILAN ;60;Male;558
2009;STUART ;60;Male;558
2009;CARSON ;59;Male;563
2009;KEELAN ;59;Male;563
2009;MARC ;59;Male;563
2009;NATE ;59;Male;563
2009;NIKHIL ;59;Male;563
2009;OWAIS ;59;Male;563
2009;ZION ;59;Male;563
2009;BRYAN ;58;Male;570
2009;KARL ;58;Male;570
2009;RAFFERTY ;58;Male;570
2009;RAYAAN ;58;Male;570
2009;TYE ;58;Male;570
2009;ZAYD ;58;Male;570
2009;CHE ;57;Male;576
2009;GARY ;57;Male;576
2009;TAHA ;57;Male;576
2009;VEER ;57;Male;576
2009;YASIR ;57;Male;576
2009;ABDULLAHI ;56;Male;581
2009;BROGAN ;56;Male;581
2009;BRUNO ;56;Male;581
2009;CODEY ;56;Male;581
2009;NEIL ;56;Male;581
2009;RAIHAN ;56;Male;581
2009;RICKY ;56;Male;581
2009;WOODY ;56;Male;581
2009;ABDULRAHMAN ;55;Male;589
2009;ARDA ;55;Male;589
2009;FYNN ;55;Male;589
2009;KOBE ;55;Male;589
2009;MATAS ;55;Male;589
2009;TARAN ;55;Male;589
2009;ZEESHAN ;55;Male;589
2009;ABU ;54;Male;596
2009;ASA ;54;Male;596
2009;BRYN ;54;Male;596
2009;DENIS ;54;Male;596
2009;DILAN ;54;Male;596
2009;HAROON ;54;Male;596
2009;IDRIS ;54;Male;596
2009;KELVIN ;54;Male;596
2009;MYLO ;54;Male;596
2009;NIKOLAS ;54;Male;596
2009;RICO ;54;Male;596
2009;SANTIAGO ;54;Male;596
2009;SION ;54;Male;596
2009;TOMASZ ;54;Male;596
2009;DIEGO ;53;Male;610
2009;EDWIN ;53;Male;610
2009;ERNEST ;53;Male;610
2009;KENNY ;53;Male;610
2009;MARIO ;53;Male;610
2009;REEGAN ;53;Male;610
2009;TIAGO ;53;Male;610
2009;ADNAN ;52;Male;617
2009;GIOVANNI ;52;Male;617
2009;HUBERT ;52;Male;617
2009;KOBI ;52;Male;617
2009;ORLANDO ;52;Male;617
2009;PAWEL ;52;Male;617
2009;PHILLIP ;52;Male;617
2009;RUEBEN ;52;Male;617
2009;SAMEER ;52;Male;617
2009;ZAKI ;52;Male;617
2009;AMAR ;51;Male;627
2009;COLIN ;51;Male;627
2009;DHRUV ;51;Male;627
2009;DILLAN ;51;Male;627
2009;EREN ;51;Male;627
2009;JEEVAN ;51;Male;627
2009;KADE ;51;Male;627
2009;KEIRON ;51;Male;627
2009;KYLAN ;51;Male;627
2009;NED ;51;Male;627
2009;QASIM ;51;Male;627
2009;REILLY ;51;Male;627
2009;SEBASTIEN ;51;Male;627
2009;TERRY ;51;Male;627
2009;DENZEL ;50;Male;641
2009;EISA ;50;Male;641
2009;MACAULEY ;50;Male;641
2009;RAFE ;50;Male;641
2009;UMAIR ;50;Male;641
2009;YOUSUF ;50;Male;641
2009;YUNUS ;50;Male;641
2009;FRANCISZEK ;49;Male;648
2009;MACIEJ ;49;Male;648
2009;MAHDI ;49;Male;648
2009;RAJA ;49;Male;648
2009;RIAN ;49;Male;648
2009;WILSON ;49;Male;648
2009;AYDIN ;48;Male;654
2009;HASEEB ;48;Male;654
2009;RAY ;48;Male;654
2009;RIVER ;48;Male;654
2009;SHAYAAN ;48;Male;654
2009;SUBHAAN ;48;Male;654
2009;TYRONE ;48;Male;654
2009;ZAKIR ;48;Male;654
2009;CHRIS ;47;Male;662
2009;KAROL ;47;Male;662
2009;MATEO ;47;Male;662
2009;SHAAN ;47;Male;662
2009;YASH ;47;Male;662
2009;ANGELO ;46;Male;667
2009;DAINTON ;46;Male;667
2009;KURTIS ;46;Male;667
2009;MILLER ;46;Male;667
2009;RICARDO ;46;Male;667
2009;RUSSELL ;46;Male;667
2009;SHEIKH ;46;Male;667
2009;TYLER-JAMES ;46;Male;667
2009;CORMAC ;45;Male;675
2009;DARIUS ;45;Male;675
2009;DAWUD ;45;Male;675
2009;ISHAQ ;45;Male;675
2009;OISIN ;45;Male;675
2009;REX ;45;Male;675
2009;ZACKARY ;45;Male;675
2009;AMMAR ;44;Male;682
2009;BRUCE ;44;Male;682
2009;EOIN ;44;Male;682
2009;ERYK ;44;Male;682
2009;HARUN ;44;Male;682
2009;IZAAK ;44;Male;682
2009;JERMAINE ;44;Male;682
2009;JOSEF ;44;Male;682
2009;KIRAN ;44;Male;682
2009;LUCCA ;44;Male;682
2009;REGINALD ;44;Male;682
2009;REHAAN ;44;Male;682
2009;SAMMY ;44;Male;682
2009;TEDDIE ;44;Male;682
2009;DENIZ ;43;Male;696
2009;ELIS ;43;Male;696
2009;EMRE ;43;Male;696
2009;FAHAD ;43;Male;696
2009;HUW ;43;Male;696
2009;ISSAC ;43;Male;696
2009;JAYLEN ;43;Male;696
2009;JON ;43;Male;696
2009;JONNY ;43;Male;696
2009;KEANE ;43;Male;696
2009;KHALIL ;43;Male;696
2009;MOSHE ;43;Male;696
2009;SIMEON ;43;Male;696
2009;STEFFAN ;43;Male;696
2009;ZAYN ;43;Male;696
2009;ANDREAS ;42;Male;711
2009;CAIRON ;42;Male;711
2009;DALE ;42;Male;711
2009;JEROME ;42;Male;711
2009;LYNDON ;42;Male;711
2009;MARKUS ;42;Male;711
2009;NATAN ;42;Male;711
2009;RUDI ;42;Male;711
2009;SHAYNE ;42;Male;711
2009;SONNIE ;42;Male;711
2009;TATE ;42;Male;711
2009;TYRELL ;42;Male;711
2009;WAYNE ;42;Male;711
2009;ARJAN ;41;Male;724
2009;AYOMIDE ;41;Male;724
2009;DEON ;41;Male;724
2009;EDMUND ;41;Male;724
2009;ISMAEL ;41;Male;724
2009;LENNOX ;41;Male;724
2009;LEONIDAS ;41;Male;724
2009;OLAF ;41;Male;724
2009;RAHUL ;41;Male;724
2009;RYLIE ;41;Male;724
2009;SAAD ;41;Male;724
2009;SALMAN ;41;Male;724
2009;SHAWN ;41;Male;724
2009;CORBEN ;40;Male;737
2009;DAFYDD ;40;Male;737
2009;DEV ;40;Male;737
2009;ESA ;40;Male;737
2009;JUNAID ;40;Male;737
2009;KAYDON ;40;Male;737
2009;MAGNUS ;40;Male;737
2009;SUFYAN ;40;Male;737
2009;TRYSTAN ;40;Male;737
2009;VINNY ;40;Male;737
2009;YAQUB ;40;Male;737
2009;EMILIO ;39;Male;748
2009;ERIK ;39;Male;748
2009;GIDEON ;39;Male;748
2009;JOHAN ;39;Male;748
2009;KAJUS ;39;Male;748
2009;KARAM ;39;Male;748
2009;KINGSLEY ;39;Male;748
2009;NOJUS ;39;Male;748
2009;RONNY ;39;Male;748
2009;SHAE ;39;Male;748
2009;SYDNEY ;39;Male;748
2009;TAYLAN ;39;Male;748
2009;ABDURRAHMAN ;38;Male;760
2009;ADITYA ;38;Male;760
2009;ALED ;38;Male;760
2009;ALEXANDRE ;38;Male;760
2009;ARIAN ;38;Male;760
2009;ARMAN ;38;Male;760
2009;AWAIS ;38;Male;760
2009;BERTIE ;38;Male;760
2009;CILLIAN ;38;Male;760
2009;EMIL ;38;Male;760
2009;FRANKLIN ;38;Male;760
2009;NATANIEL ;38;Male;760
2009;NIHAL ;38;Male;760
2009;RIDWAN ;38;Male;760
2009;ROCKY ;38;Male;760
2009;SAFWAN ;38;Male;760
2009;WOJCIECH ;38;Male;760
2009;ALASTAIR ;37;Male;777
2009;ARAN ;37;Male;777
2009;ARTUR ;37;Male;777
2009;CADE ;37;Male;777
2009;HADI ;37;Male;777
2009;KAELAN ;37;Male;777
2009;KAINE ;37;Male;777
2009;KOBY ;37;Male;777
2009;KRISHAN ;37;Male;777
2009;KRZYSZTOF ;37;Male;777
2009;LAURIE ;37;Male;777
2009;LUQMAN ;37;Male;777
2009;PABLO ;37;Male;777
2009;PEDRO ;37;Male;777
2009;REMI ;37;Male;777
2009;TODD ;37;Male;777
2009;TYMOTEUSZ ;37;Male;777
2009;TYREECE ;37;Male;777
2009;ABUBAKAR ;36;Male;795
2009;AMIN ;36;Male;795
2009;ASHWIN ;36;Male;795
2009;EDGAR ;36;Male;795
2009;FABIO ;36;Male;795
2009;JORGE ;36;Male;795
2009;KAMERON ;36;Male;795
2009;LOCHLAN ;36;Male;795
2009;MIGUEL ;36;Male;795
2009;NIKITA ;36;Male;795
2009;OMARI ;36;Male;795
2009;STEVIE ;36;Male;795
2009;SUFYAAN ;36;Male;795
2009;SULAYMAN ;36;Male;795
2009;ANDY ;35;Male;809
2009;AYUSH ;35;Male;809
2009;DORIAN ;35;Male;809
2009;EHSAN ;35;Male;809
2009;GENE ;35;Male;809
2009;HENRI ;35;Male;809
2009;ISRAEL ;35;Male;809
2009;JOSE ;35;Male;809
2009;JUN ;35;Male;809
